shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
EmisonEmily	RT @tvshowsbloopers: the walking dead http://twitter.com/tvshowsbloopers/status/674435278849855490/video/1
SimplyEssence	Finally catching up on the walking dead
Trevor7812	I've been watching the walking dead for the last 6 hours, what is life?
8teenliam	is the walking dead good im not really into zombies tho but
breakingbad_bot	breakingbad_bot: jodiediefenbach: breakingbad_bot: breakingbad_bot: LureOG: Monzohs start up breaking bad download… http://twitter.com/jodiediefenbach/status/683157607356432384/photo/1
eggo420	@SweeetCheekks orange is the new black
jessisoporito	RT @faveship: beth and daryl - the walking dead http://twitter.com/faveship/status/642643378669162496/photo/1
vrtemis	finallyyy going to watch season 6 of the walking dead 😍 it's been too long
PrinceJefe_	RT @PrettySmileTab: Dang he just ruin the prison break experience for her lol
ashley_andraya	ugh the ending to narcos was soooo good!!! 😩
bornlegacy__	the walking dead is by far the best show ever created 💯👏🏽
DeclineAndRott	I can't believe I ever stopped watching breaking bad. I'm in love with Walter jr. 😘☺️
thatluzergirl	remember when my dad watched all of breaking bad without me :)
bornlegacy__	Ima audition for the next season of the walking dead to be a walker 😂
tiffany_wheeler	RT @TheWalkingHumor: hello the walking dead returns next month goodbye
daisha2x	orange is the new black https://twitter.com/yabitchdaia/status/683112078391918592
xo_jps	I've been binge watching #narcos for over 6 hours 😅
lexiibitchh	orange is the new black https://twitter.com/yabitchdaia/status/683112078391918592
CotHaki	just saw glen die on the walking dead high af :( http://goo.gl/njQoX2 https://twitter.com/PrettyAss_Jaasz/status/683172357679243267
BaseballGirlie	@elBertoColon Soooo good in season 3!! #OITNB 👍😍
slicknichobbs	RT @rtsaddestdeaths: hershel greene || the walking dead http://twitter.com/rtsaddestdeaths/status/646393966020136960/photo/1
Tris30says	Working overnight with Cathy means watching the walking dead, drinking endless amounts of coffee, and listening to @CassadeePope 👌🏻😍
Alvarez_177	I'm so into prison break and criminal minds 😅
highkeycabello	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
highkeycabello	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/673227360246890497/video/1
louietomlinsons	@zaddyhs @threadtacular you gonna die but Ima live like michonne from the walking dead
MikaylaBrady_	@_katherrine_ @t_mitchell612 you guys are ruining it for all the prison break fans OK
DrMombasa	Read & RT, a great story. - "I grew up in Pablo Escobar’s Colombia. Here’s what it was really like." http://www.vox.com/2015/10/21/9571295/narcos-pablo-escobar-colombia?utm_campaign=vox&utm_content=feature%3Atop&utm_medium=social&utm_source=twitter via @voxdotcom
trumanlarryy	RT @tvshowsbloopers: the walking dead http://twitter.com/tvshowsbloopers/status/674435278849855490/video/1
zapzattoo	when season 4 of orange is the new black comes out i'm locking myself in my room for like 2 days and i'm not talking to anyone
miaaalaraaa	Just going to watch narcos all over again
asaytgshfjhyho1	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
perfectedpitch	imma b real here im not digging season 6 of the walking dead. too many deaths 4 shock factor. AMC im not impressed
irlesbian	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
seasonirwin	RT @rtifyouliike: the walking dead
Yaboy_Vino	@FloydTheHooper I ain't get pass the first episode in breaking bad lol
la_torraa	RT @TheWalkingHumor: hello the walking dead returns next month goodbye
asfasy6fsyhfho1	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
OITNBAustralia	Life lessons with Ms. Vause. #OITNB #AlexVause http://twitter.com/OITNBAustralia/status/683189092738174976/photo/1
kaytedeuz	Friends back in HI doing hikes while I'm just watch the walking dead w/ the fam💀 oh what a nice winter fucking break
Vintage_Lunar	#OITNB renewed for season 4. So good...
_kwmls	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
coryclown17	RT @PopoRuva23: I forgot how good of a show breaking bad was !!
Wade_baller_3	RT @PrisonBReact: *opens Netflix app and watches prison break all over again*
ashleyfeelslow	I got You lost your best friend on "Who did you lose in the walking dead" http://quotev.com/quiz/3625434
_ar0ss	@magicaal_marian I'm going to watch Dexter!! then prison break!!! 😻
FloppyHood_x	@Calum5SOS tell Michael I'm watching the walking dead I recommend it
Goldiestabe	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
SassingOakley	RT @tvstarterspacks: the walking dead (tv show) starter pack http://twitter.com/tvstarterspacks/status/674674585653157888/photo/1
cattstackss	A season 5 of prison break isn't even possible unless Michael faked his death or was kidnapped dawg & if they did that Ima feel played
BaseballGirlie	@birbigs I can't figure out if I love you or hate you😜 #OITNB #HalfWayThruSeason3
Shelbieleigh23	Still watching the walking dead 😂💘
AnaWasTaken	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
akaAzra_	been watching prison break all day!!
hotanddang21	Colin and I have been watching the walking dead for 12 hours lmao
mariana_2280	almost finished with breaking bad ☹
ashleyfeelslow	I got Carley on "Telltale's the walking dead personality test" http://quotev.com/quiz/4814609
StarkVitality	Lmn went to go beat his meat before we starry ss watching prison break
marisaleeA	My dad called and I told him I was watching breaking bad and he said "oh yeah you don't have friends do you"
vmcrhk_	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
phillipsbrooke1	don't ya just love staying up this late just to watch prison break 😅
SarahGilmoree	I gotta stop watching the walking dead so late, I just attacked a door I bumped into 😅
Boogie_men15	RT @favechracter: nicky nichols || orange is the new black http://twitter.com/favechracter/status/640587243086848000/photo/1
SaskiaBrownie	RT @rtsaddestdeaths: hershel greene || the walking dead http://twitter.com/rtsaddestdeaths/status/646393966020136960/photo/1
Natey_BakeyJ	Finished making a murderer haven't been that hooked on a show since breaking bad 🤔
nessyness11	I'm hooked into #OITNB 💕💕
thewantxd_	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/673227360246890497/video/1
MailysOuali	RT @OITNB: Look at you, @google! You know our girl @RubyRose was the queen of 2015. #YearInSearch #OITNB http://twitter.com/OITNB/status/677204099104919552/photo/1
stylesftcara	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
crushselly	RT @tvstarterspacks: the walking dead (tv show) starter pack http://twitter.com/tvstarterspacks/status/674674585653157888/photo/1
MhlangaKudzayi	RT @_Milli__: Waiting for S4🙆"@MhlangaKudzayi: #OITNB Season3 dankie Netflix 😋"
wonderallyson	RT @lexasreyes: the walking dead cancelled. https://twitter.com/5soscasting/status/663542752278253571
mirthfultae	goodnight i just started to watch breaking bad, and so far i like it. i love taehyung so much i hope he's healthy and safe
mckennarauhl	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/673227360246890497/video/1
__mohammad_12	I just finished all of breaking bad and I don't know what to do with my life anymore. 🙃
espinozaluis21	@heysantay_ or watch narcos
ThatGirlChowder	Can't believe it's taken me this long to start to catch up on the walking dead
One_Deep_Rich	RT @BURRRgos: Whoever produced that new Ferg and future song used the strings from the walking dead 🔥🔥
ChefJuliusz	Just had to kill the dog on season 2 of the walking dead game. That's fucked up man. Why have the option to kill a living animal 😭😭
trmnblvck	RT @tvstarterspacks: the walking dead (tv show) starter pack http://twitter.com/tvstarterspacks/status/674674585653157888/photo/1
McAuleeey	First series off Fear the walking dead was quality 👌
Mariemtg_	RT @rtsituregardes: rt si tu regardes the walking dead
TORMENTORMX	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
Jay_Vercetti	I missed so much with the walking dead.
cleanycloth	@LinusTech *insert orange is the new black joke here*
Tom_simpson97	Highlight of 2015? Watching prison break
xchar86x	@_SarahWCallies_ about time 😉 hope you return to prison break wont be the same without you 😊
letteuh	RT @thnksmerci: orange is the new black
linampuente	RT @rtsaddestdeaths: bob stookey || the walking dead http://twitter.com/rtsaddestdeaths/status/647168099540713472/photo/1
linampuente	RT @rtsaddestdeaths: noah || the walking dead http://twitter.com/rtsaddestdeaths/status/646816580341370880/photo/1
granbasso	we are one | the walking dead http://fb.me/7UtywnvhJ
MohamedElEnbaby	A relationship like the one between Jessie and Jane in breaking bad..
joe90racing	The only series I've properly watched is breaking bad
GoingApeS	#thewalkingdead our lines are breached #zombies #walkers #twd #walkingdead EP2 pt 2 http://youtu.be/weJEkDbGXn4?a
The____Best__Ni	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
silvadayane450	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
stefficarpentie	RT @thnksmerci: orange is the new black
bad_protein	prison break a good show but this nigga always look like he staring into the sun
xgsparks	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
goldlarries	RT @Louis_Tomlinson: Fear the walking dead is siiiiiiiiiick !! Shits about to kick off !!
Gem_Mission	Can't watch Malcolm in the middle without thinking I'm watching breaking bad
DanielRides	@TrevorPbmx @drewmoakler prison break and breaking bad 👍🏻
Txrmxh	RT @thnksmerci: orange is the new black
sledgehair	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
InesLamti	RT @rtsituregardes: rt si tu regardes the walking dead
WatchesNetflix	2 seconds into the show and I already hate Shane #thewalkingdead
G5Mikey	Been up and down all night watching the walking dead
LauraSibon	voy a empezar breaking bad, I promise
ruthyburgos25	The best quote... #thewalkingdead http://twitter.com/ruthyburgos25/status/683284144919588864/photo/1
racheIamber	its taking me so long to watch breaking bad. it'll probably be another month until i watch the x files
lovatowd	RT @arcticmortes: af amo orange is the new black
NotGoingJersey	Hahaha, the walking dead is mineee http://twitter.com/NotGoingJersey/status/683286811746156544/photo/1
WatchesNetflix	my reaction when I realized that Shane was fucking Rick's wife was...like damn (embarrassing) #thewalkingdead
__CAL____	RT @mr_mceachern: @__CAL____ if prison break don't win. Whoever voted is ignorant. RT
moe01888	RT @LauraPrepon: Happy Holidays from Litchfield! #OITNB https://twitter.com/OITNB/status/679426449070145536
delenaftstark	RT @faveship: michonne and rick - the walking dead http://twitter.com/faveship/status/644044772869410816/photo/1
Harmonyota	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
andrewruff1816	@jayy_beth @MistyHewglie @KylieJenner look like she a customer on breaking bad
_danicagail	and I've been watching the walking dead marathon. I'm pretty into it now
El_Hamdoulillah	RT @rtsituregardes: rt si tu regardes the walking dead
PayNwithaY	@Xp_Phil prison break was the best ive seen
AnoukVerhaege	RT @thnksmerci: orange is the new black
YougaSana	Jv regarder orange is the new black la si Warren me spoil pas tout looool
fodekook	RT @oqfazernapausa: 253- assistir orange is the new black
hasanayoub7	Starting to watch breaking bad
vernersbk	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
KylanGibbs	RT @PrisonBReact: *opens Netflix app and watches prison break all over again*
darthkyIo	RT @simplycohan: suddenly I don't know what the walking dead is https://twitter.com/acaciabrinley/status/561676852088307713
chl_chlo	RT @rtcharacters: alex vause || orange is the new black http://twitter.com/rtcharacters/status/648278232022810624/photo/1
EllieBannister	Just finished watching prison break, what am I going to do now?
alks_69	RT @rtyourcharacter: maggie greene || the walking dead http://twitter.com/rtyourcharacter/status/658708352181096448/photo/1
SebavynBae	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
1dmeupau	RT @faveship: nichols and morello - orange is the new black http://twitter.com/faveship/status/646211261005344768/photo/1
BreenWildOne	RT @TLexi0329: Robby and I just watched the last episode of orange is the new black. Why can't there be another season already?!!!!!!! 😢😢😭😭
greystrinity	RT @favechracter: alex vause || orange is the new black http://twitter.com/favechracter/status/633315558558146560/photo/1
sonhoscinza	RT @MaykowDraven: falando em the walking dead, preciso do 3° livro 😭😭
loucaporpll	RT @faveship: carol and daryl - the walking dead http://twitter.com/faveship/status/642843161979580416/photo/1
ALLYSMOKES	RT @horrorscyrus: the walking dead https://twitter.com/errorposey/status/682468480243896320
louisthit	RT @faveship: piper and alex - orange is the new black http://twitter.com/faveship/status/641767450745307136/photo/1
PEETAGRAY	RT @rtsejaassistiu: orange is the new black
VodK_CsGo	RT @rtsituregardes: rt si tu regardes the walking dead
praytonash	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
profilingtaylor	RT @favechracter: nicky nichols || orange is the new black http://twitter.com/favechracter/status/640587243086848000/photo/1
